visa,industry,jobs_2223,income_2223
Temporary Graduate,"Agriculture, Forestry and Fishing",1931,11872
Temporary Graduate,Mining,773,48909
Temporary Graduate,Manufacturing,11749,24651
Temporary Graduate,"Electricity, Gas, Water and Waste Services",786,33818
Temporary Graduate,Construction,12047,25875
Temporary Graduate,Wholesale Trade,8252,25161
Temporary Graduate,Retail Trade,38823,15567
Temporary Graduate,Accommodation and Food Services,67325,12501
Temporary Graduate,"Transport, Postal and Warehousing",30107,8380
Temporary Graduate,Information Media and Telecommunications,3617,25735
Temporary Graduate,Financial and Insurance Services,6821,22511
Temporary Graduate,"Rental, Hiring and Real Estate Services",4501,17340
Temporary Graduate,"Professional, Scientific and Technical Services",29270,28500
Temporary Graduate,Administrative and Support Services,60790,9700
Temporary Graduate,Public Administration and Safety,6272,15568
Temporary Graduate,Education and Training,12121,14937
Temporary Graduate,Health Care and Social Assistance,45313,19971
Temporary Graduate,Arts and Recreation Services,4146,10770
Temporary Graduate,Other Services,9210,17724
Temporary Skilled,"Agriculture, Forestry and Fishing",2311,52525
Temporary Skilled,Mining,2649,139316
Temporary Skilled,Manufacturing,7826,61813
Temporary Skilled,"Electricity, Gas, Water and Waste Services",504,84998
Temporary Skilled,Construction,7784,69240
Temporary Skilled,Wholesale Trade,4957,73814
Temporary Skilled,Retail Trade,5729,33677
Temporary Skilled,Accommodation and Food Services,11883,32002
Temporary Skilled,"Transport, Postal and Warehousing",2475,27688
Temporary Skilled,Information Media and Telecommunications,2199,93401
Temporary Skilled,Financial and Insurance Services,4334,86861
Temporary Skilled,"Rental, Hiring and Real Estate Services",1413,49660
Temporary Skilled,"Professional, Scientific and Technical Services",25614,75982
Temporary Skilled,Administrative and Support Services,9407,30240
Temporary Skilled,Public Administration and Safety,807,44641
Temporary Skilled,Education and Training,2910,30516
Temporary Skilled,Health Care and Social Assistance,11937,46395
Temporary Skilled,Arts and Recreation Services,1043,25833
Temporary Skilled,Other Services,3803,42546
Temporary Student,"Agriculture, Forestry and Fishing",4152,5983
Temporary Student,Mining,433,19530
Temporary Student,Manufacturing,22429,10300
Temporary Student,"Electricity, Gas, Water and Waste Services",722,11819
Temporary Student,Construction,14440,15145
Temporary Student,Wholesale Trade,14209,10296
Temporary Student,Retail Trade,75394,8643
Temporary Student,Accommodation and Food Services,216268,5722
Temporary Student,"Transport, Postal and Warehousing",44456,5229
Temporary Student,Information Media and Telecommunications,2933,7493
Temporary Student,Financial and Insurance Services,7542,7379
Temporary Student,"Rental, Hiring and Real Estate Services",9186,7175
Temporary Student,"Professional, Scientific and Technical Services",23434,7753
Temporary Student,Administrative and Support Services,166336,5427
Temporary Student,Public Administration and Safety,5557,6270
Temporary Student,Education and Training,24798,5086
Temporary Student,Health Care and Social Assistance,84488,9893
Temporary Student,Arts and Recreation Services,10527,5241
Temporary Student,Other Services,18278,8641
Temporary Working Holiday Maker,"Agriculture, Forestry and Fishing",25246,5171
Temporary Working Holiday Maker,Mining,850,21411
Temporary Working Holiday Maker,Manufacturing,9608,9456
Temporary Working Holiday Maker,"Electricity, Gas, Water and Waste Services",446,8617
Temporary Working Holiday Maker,Construction,12463,10208
Temporary Working Holiday Maker,Wholesale Trade,5743,7256
Temporary Working Holiday Maker,Retail Trade,9840,5196
Temporary Working Holiday Maker,Accommodation and Food Services,62892,4400
Temporary Working Holiday Maker,"Transport, Postal and Warehousing",4605,4840
Temporary Working Holiday Maker,Information Media and Telecommunications,895,3732
Temporary Working Holiday Maker,Financial and Insurance Services,2774,8321
Temporary Working Holiday Maker,"Rental, Hiring and Real Estate Services",4578,4767
Temporary Working Holiday Maker,"Professional, Scientific and Technical Services",8160,8126
Temporary Working Holiday Maker,Administrative and Support Services,50234,4743
Temporary Working Holiday Maker,Public Administration and Safety,1738,5758
Temporary Working Holiday Maker,Education and Training,3001,7128
Temporary Working Holiday Maker,Health Care and Social Assistance,5481,10089
Temporary Working Holiday Maker,Arts and Recreation Services,3923,3689
Temporary Working Holiday Maker,Other Services,3300,7124
